"","Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24","Year","EV","HardH%"
"20","New York Yankees",".263",".336",".422",".758",".293","2.8%","16.6%","9.2%","26.3%","38.0%","28.3%","0.63","3.4","3.1%","27.2",2000,NA,NA
"21","Oakland Athletics",".274",".348",".423",".770",".304","2.5%","15.2%","9.7%","25.0%","43.0%","26.1%","0.77","2.3","4.6%","21.7",2000,NA,NA
"22","Philadelphia Phillies",".265",".343",".448",".791",".297","3.2%","17.8%","10.1%","24.8%","37.1%","29.9%","0.61","-3.4","-0.6%","-27.0",2000,NA,NA
"23","Pittsburgh Pirates",".277",".361",".432",".793",".313","2.5%","16.4%","10.9%","24.9%","44.2%","24.7%","0.83","-7.6","-1.2%","-77.8",2000,NA,NA
"24","San Diego Padres",".258",".340",".416",".756",".286","3.0%","16.7%","10.1%","24.8%","39.6%","28.3%","0.68","-1.5","-1.7%","-30.1",2000,NA,NA
"25","Seattle Mariners",".262",".339",".416",".755",".290","2.7%","15.9%","10.1%","25.2%","38.2%","29.3%","0.64","9.0","11.5%","48.2",2000,NA,NA
"26","San Francisco Giants",".266",".342",".412",".754",".303","2.4%","17.2%","9.9%","25.7%","38.6%","28.3%","0.66","4.1","4.3%","38.4",2000,NA,NA
"27","St. Louis Cardinals",".259",".338",".434",".771",".290","3.2%","17.7%","9.8%","26.2%","37.8%","28.5%","0.63","6.5","3.4%","38.1",2000,NA,NA
"28","Tampa Bay Devil Rays",".278",".345",".451",".796",".302","3.2%","15.2%","8.5%","25.9%","41.6%","26.9%","0.73","-1.3","-2.5%","-2.8",2000,NA,NA
"29","Texas Rangers",".294",".369",".475",".845",".317","3.1%","14.0%","10.1%","28.5%","36.3%","28.7%","0.58","-9.3","-2.9%","-121.1",2000,NA,NA
"30","Toronto Blue Jays",".285",".354",".456",".809",".313","3.1%","15.3%","8.8%","27.0%","39.3%","27.8%","0.67","2.6","1.8%","-46.3",2000,NA,NA
"31","League Average",".270",".345",".437",".782",".300","3.0%","16.5%","9.6%","25.5%","39.8%","28.0%","0.68","","","",2000,NA,NA
"32","",".270",".345",".437",".782",".300","3.0%","16.5%","9.6%","25.5%","39.8%","28.0%","0.68","","","",2000,NA,NA
"33","Anaheim Angels",".263",".331",".412",".744",".288","2.7%","15.3%","8.5%","24.5%","41.8%","27.3%","0.74","4.0","2.5%","54.6",2001,NA,NA
"34","Arizona Diamondbacks",".247",".311",".404",".715",".288","3.2%","21.3%","7.6%","23.2%","38.3%","29.8%","0.65","14.0","15.8%","119.2",2001,NA,NA
"35","Atlanta Braves",".250",".314",".384",".698",".287","2.5%","18.6%","8.2%","23.0%","42.5%","27.8%","0.77","12.6","12.4%","125.8",2001,NA,NA
"36","Baltimore Orioles",".269",".337",".439",".777",".291","3.1%","15.0%","8.4%","24.4%","39.8%","28.3%","0.68","-7.5","-0.4%","-66.5",2001,NA,NA
"37","Boston Red Sox",".254",".329",".393",".722",".302","2.3%","20.1%","8.7%","24.1%","42.0%","26.0%","0.75","3.8","2.8%","47.2",2001,NA,NA
"38","Chicago Cubs",".249",".321",".398",".719",".299","2.7%","21.8%","8.9%","25.2%","40.8%","26.6%","0.72","4.1","1.3%","40.8",2001,NA,NA
"39","Chicago White Sox",".266",".334",".427",".761",".288","2.9%","14.9%","8.1%","24.2%","40.1%","27.6%","0.70","0.0","-1.9%","1.9",2001,NA,NA
"40","Cincinnati Reds",".279",".341",".455",".796",".302","3.1%","14.9%","8.1%","25.0%","40.8%","26.6%","0.72","-7.6","-1.2%","-69.2",2001,NA,NA
"41","Cleveland Indians",".270",".341",".417",".757",".319","2.3%","19.3%","9.1%","24.5%","41.9%","26.6%","0.75","1.2","1.3%","-29.9",2001,NA,NA
"42","Colorado Rockies",".275",".350",".480",".830",".299","3.8%","16.8%","9.5%","26.3%","38.1%","28.2%","0.64","-12.5","-4.6%","-80.2",2001,NA,NA
"43","Detroit Tigers",".289",".357",".461",".818",".311","2.8%","13.5%","8.7%","26.0%","40.2%","27.3%","0.69","-11.1","-2.7%","-119.0",2001,NA,NA
"44","Florida Marlins",".257",".338",".411",".749",".296","2.4%","18.0%","9.9%","23.8%","41.0%","26.9%","0.73","-2.6","-1.8%","-9.4",2001,NA,NA
"45","Houston Astros",".261",".325",".437",".762",".296","3.5%","19.7%","7.8%","25.3%","40.3%","27.3%","0.70","5.9","7.7%","21.4",2001,NA,NA
"46","Kansas City Royals",".276",".348",".450",".797",".295","3.3%","14.5%","9.2%","24.4%","41.6%","27.6%","0.74","-5.3","-1.7%","-48.4",2001,NA,NA
"47","Los Angeles Dodgers",".252",".323",".411",".734",".291","3.0%","19.6%","8.5%","23.8%","39.8%","27.9%","0.69","1.8","-0.3%","-8.3",2001,NA,NA
"48","Milwaukee Brewers",".265",".350",".440",".791",".294","3.1%","16.7%","10.5%","24.2%","41.0%","26.7%","0.73","-7.0","0.3%","-63.2",2001,NA,NA
"49","Minnesota Twins",".268",".325",".437",".763",".291","3.1%","15.6%","7.2%","25.0%","37.0%","30.7%","0.61","1.0","-0.9%","19.9",2001,NA,NA
"50","Montreal Expos",".272",".339",".441",".780",".307","3.0%","17.7%","8.4%","24.4%","40.3%","27.6%","0.71","-3.9","-0.3%","-57.7",2001,NA,NA
"51","New York Mets",".257",".314",".419",".733",".294","3.1%","19.5%","7.2%","23.5%","40.2%","28.4%","0.70","6.2","-0.6%","27.3",2001,NA,NA
"52","New York Yankees",".257",".318",".398",".716",".303","2.6%","20.5%","7.5%","24.5%","40.4%","27.6%","0.70","14.0","8.0%","76.6",2001,NA,NA
"53","Oakland Athletics",".249",".308",".380",".688",".285","2.5%","18.3%","7.2%","23.7%","45.0%","24.6%","0.84","12.5","4.8%","145.1",2001,NA,NA
"54","Philadelphia Phillies",".259",".329",".424",".753",".292","2.7%","17.5%","8.5%","24.3%","39.6%","28.3%","0.68","2.9","0.3%","27.5",2001,NA,NA
"55","Pittsburgh Pirates",".272",".344",".433",".777",".297","2.7%","14.6%","8.8%","23.9%","44.4%","24.9%","0.84","-10.9","-1.7%","-102.1",2001,NA,NA
"56","San Diego Padres",".269",".330",".450",".780",".297","3.5%","17.3%","7.6%","25.2%","39.1%","28.5%","0.66","-7.8","-4.0%","-85.8",2001,NA,NA
"57","Seattle Mariners",".236",".301",".378",".679",".262","2.6%","17.2%","7.6%","22.0%","38.0%","31.7%","0.63","18.0","4.0%","152.6",2001,NA,NA
"58","San Francisco Giants",".258",".329",".404",".732",".294","2.3%","17.2%","9.2%","25.6%","38.4%","28.9%","0.65","5.2","4.4%","-2.5",2001,NA,NA
"59","St. Louis Cardinals",".256",".328",".428",".757",".286","3.2%","17.7%","8.6%","25.4%","40.9%","26.2%","0.72","8.8","7.6%","75.8",2001,NA,NA
"60","Tampa Bay Devil Rays",".273",".345",".452",".797",".299","3.3%","16.4%","9.1%","25.4%","37.1%","30.8%","0.60","-10.4","-2.3%","-122.5",2001,NA,NA
"61","Texas Rangers",".293",".362",".494",".856",".314","3.4%","14.7%","9.2%","26.8%","37.3%","29.1%","0.61","-12.2","-3.4%","-171.7",2001,NA,NA
"62","Toronto Blue Jays",".275",".339",".435",".774",".309","2.6%","16.5%","7.8%","25.8%","43.0%","24.8%","0.78","5.3","1.0%","47.7",2001,NA,NA
"63","League Average",".264",".332",".427",".759",".296","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","","","",2001,NA,NA
"64","",".264",".332",".427",".759",".296","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","","","",2001,NA,NA
"65","Anaheim Angels",".247",".314",".392",".706",".271","2.8%","16.4%","8.4%","26.3%","37.0%","29.3%","0.60","12.7","11.8%","140.8",2002,NA,NA
"66","Arizona Diamondbacks",".247",".305",".397",".702",".292","2.8%","21.5%","6.9%","26.7%","39.1%","25.8%","0.67","11.5","6.2%","81.5",2002,NA,NA
"67","Atlanta Braves",".240",".313",".364",".677",".275","2.0%","17.3%","9.0%","24.7%","42.9%","25.2%","0.79","20.3","9.5%","167.5",2002,NA,NA
"68","Baltimore Orioles",".266",".336",".435",".770",".288","3.3%","15.5%","8.8%","26.2%","41.3%","26.2%","0.72","-3.2","-0.2%","-7.2",2002,NA,NA
"69","Boston Red Sox",".246",".308",".385",".693",".284","2.4%","19.1%","7.1%","25.4%","41.4%","26.3%","0.72","8.5","5.0%","120.2",2002,NA,NA
"70","Chicago Cubs",".253",".331",".407",".738",".303","2.7%","21.4%","9.7%","28.4%","37.7%","24.8%","0.64","-7.9","-1.2%","-51.1",2002,NA,NA
"71","Chicago White Sox",".260",".330",".423",".753",".282","3.1%","15.4%","8.6%","25.2%","38.8%","28.1%","0.66","-2.9","-3.4%","-29.9",2002,NA,NA
"72","Cincinnati Reds",".269",".338",".426",".764",".297","2.8%","15.6%","8.7%","26.4%","40.8%","25.5%","0.72","0.2","-0.2%","-39.4",2002,NA,NA
"73","Cleveland Indians",".274",".348",".423",".771",".312","2.3%","16.9%","9.6%","27.4%","40.7%","25.6%","0.71","-6.7","-0.8%","-76.5",2002,NA,NA
"74","Colorado Rockies",".277",".349",".466",".816",".295","3.6%","14.5%","9.2%","27.1%","39.0%","26.3%","0.66","-8.4","-2.0%","-140.8",2002,NA,NA
"75","Detroit Tigers",".285",".343",".455",".798",".305","2.6%","12.8%","7.5%","27.4%","37.9%","27.3%","0.63","-11.4","-2.0%","-130.0",2002,NA,NA
"76","Florida Marlins",".262",".341",".415",".756",".300","2.4%","17.4%","10.0%","27.2%","37.9%","26.5%","0.64","0.3","-0.9%","-50.1",2002,NA,NA
"77","Houston Astros",".260",".330",".410",".740",".306","2.4%","19.7%","8.8%","27.7%","39.6%","24.1%","0.69","5.5","3.8%","44.2",2002,NA,NA
"78","Kansas City Royals",".281",".349",".464",".812",".299","3.3%","14.2%","9.0%","26.7%","38.3%","27.1%","0.64","-10.2","-1.7%","-81.1",2002,NA,NA
"79","Los Angeles Dodgers",".242",".315",".387",".702",".275","2.7%","18.4%","9.0%","25.6%","38.6%","27.5%","0.66","10.3","5.6%","52.7",2002,NA,NA
"80","Milwaukee Brewers",".268",".352",".442",".794",".296","3.1%","16.2%","10.5%","27.2%","37.5%","26.8%","0.64","-8.6","-1.0%","-116.7",2002,NA,NA
"81","Minnesota Twins",".261",".318",".421",".739",".288","3.0%","16.7%","7.2%","25.3%","34.5%","31.6%","0.54","12.1","3.7%","66.4",2002,NA,NA
"82","Montreal Expos",".265",".329",".421",".751",".301","2.6%","17.4%","8.1%","27.5%","41.5%","24.1%","0.74","-0.5","-2.2%","9.5",2002,NA,NA
"83","New York Mets",".256",".327",".403",".730",".292","2.6%","17.8%","8.7%","25.4%","39.0%","26.9%","0.67","2.2","2.0%","-1.7",2002,NA,NA
"84","New York Yankees",".256",".309",".395",".705",".295","2.3%","18.4%","6.5%","27.5%","38.9%","25.9%","0.66","12.4","4.8%","86.7",2002,NA,NA
"85","Oakland Athletics",".252",".315",".384",".699",".284","2.2%","16.6%","7.7%","25.7%","42.6%","24.7%","0.77","14.5","10.8%","122.7",2002,NA,NA
"86","Philadelphia Phillies",".252",".328",".401",".730",".286","2.5%","17.3%","9.2%","25.2%","42.7%","24.3%","0.78","-4.7","-2.7%","-28.0",2002,NA,NA
"87","Pittsburgh Pirates",".268",".342",".423",".765",".294","2.7%","15.0%","9.3%","26.5%","43.9%","22.7%","0.82","-1.3","0.6%","-21.9",2002,NA,NA
"88","San Diego Padres",".274",".346",".442",".788",".310","2.8%","17.5%","9.2%","28.4%","38.5%","25.7%","0.66","-11.3","-0.7%","-134.7",2002,NA,NA
"89","Seattle Mariners",".257",".315",".410",".724",".286","2.9%","17.4%","7.2%","27.4%","35.8%","29.5%","0.57","7.3","5.2%","66.2",2002,NA,NA
"90","San Francisco Giants",".251",".319",".372",".691",".286","1.9%","16.4%","8.6%","27.1%","37.1%","27.8%","0.62","8.4","6.2%","82.5",2002,NA,NA
"91","St. Louis Cardinals",".251",".323",".386",".709",".282","2.3%","16.5%","8.9%","27.0%","39.1%","26.5%","0.67","9.0","4.7%","67.9",2002,NA,NA
"92","Tampa Bay Devil Rays",".279",".357",".463",".820",".298","3.4%","14.4%","9.7%","28.1%","34.2%","29.9%","0.53","-16.0","-1.7%","-154.0",2002,NA,NA
"93","Texas Rangers",".272",".355",".451",".806",".301","3.0%","16.0%","10.4%","29.1%","38.4%","25.8%","0.64","-10.8","-2.5%","-85.8",2002,NA,NA
"94","Toronto Blue Jays",".269",".344",".431",".775",".297","2.8%","15.6%","9.3%","26.5%","39.2%","27.4%","0.67","-3.7","-2.7%","-38.3",2002,NA,NA
"95","League Average",".261",".331",".417",".748",".293","2.7%","16.8%","8.7%","26.7%","39.1%","26.5%","0.67","","","",2002,NA,NA
"96","",".261",".331",".417",".748",".293","2.7%","16.8%","8.7%","26.7%","39.1%","26.5%","0.67","","","",2002,NA,NA
"97","Anaheim Angels",".261",".327",".421",".748",".285","3.1%","15.9%","7.9%","20.0%","39.8%","29.5%","0.68","0.1","-0.9%","24.7",2003,NA,NA
"98","Arizona Diamondbacks",".250",".322",".388",".710",".299","2.4%","20.7%","8.4%","19.5%","46.0%","23.8%","0.91","14.0","6.6%","97.9",2003,NA,NA
"99","Atlanta Braves",".257",".327",".401",".728",".287","2.4%","15.9%","8.9%","18.6%","48.0%","25.1%","0.96","6.4","3.7%","12.1",2003,NA,NA
"100","Baltimore Orioles",".278",".346",".446",".792",".304","3.1%","15.4%","8.3%","18.2%","43.2%","29.6%","0.78","-3.6","-1.9%","-42.8",2003,NA,NA
"101","Boston Red Sox",".263",".327",".415",".742",".302","2.4%","18.0%","7.7%","15.8%","45.7%","29.4%","0.87","0.5","2.0%","1.0",2003,NA,NA
"102","Chicago Cubs",".241",".324",".372",".697",".297","2.3%","22.6%","9.9%","18.0%","47.1%","24.3%","0.95","11.9","12.0%","75.1",2003,NA,NA
"103","Chicago White Sox",".253",".322",".404",".725",".284","2.7%","17.4%","8.5%","18.6%","42.4%","28.7%","0.77","8.2","4.1%","68.8",2003,NA,NA
"104","Cincinnati Reds",".278",".349",".463",".812",".299","3.3%","14.5%","9.2%","22.2%","42.7%","25.7%","0.78","-10.8","-4.4%","-155.7",2003,NA,NA
"105","Cleveland Indians",".264",".329",".426",".755",".287","2.9%","15.1%","8.0%","17.9%","44.5%","27.4%","0.84","-2.8","-1.1%","2.0",2003,NA,NA
"106","Colorado Rockies",".290",".359",".470",".829",".310","3.1%","13.6%","8.7%","20.4%","44.3%","25.4%","0.83","-8.8","-3.6%","-106.2",2003,NA,NA
"107","Detroit Tigers",".286",".352",".461",".813",".299","3.1%","12.0%","8.7%","18.7%","43.5%","28.0%","0.80","-15.3","-0.9%","-171.2",2003,NA,NA
"108","Florida Marlins",".258",".325",".396",".722",".301","2.1%","18.4%","8.6%","17.8%","43.0%","28.4%","0.79","11.8","9.2%","50.3",2003,NA,NA
"109","Houston Astros",".248",".326",".397",".722",".285","2.6%","18.4%","9.2%","15.2%","46.6%","26.6%","0.92","8.8","8.5%","85.4",2003,NA,NA
"110","Kansas City Royals",".279",".348",".450",".798",".297","3.0%","13.6%","8.9%","18.7%","42.1%","28.9%","0.75","-1.4","-2.1%","-63.1",2003,NA,NA
"111","Los Angeles Dodgers",".234",".306",".354",".660",".285","2.1%","21.5%","8.8%","18.4%","48.2%","22.8%","0.99","20.6","11.8%","177.6",2003,NA,NA
"112","Milwaukee Brewers",".279",".348",".462",".810",".305","3.4%","16.0%","8.9%","20.8%","41.2%","26.4%","0.74","-11.8","-1.9%","-130.6",2003,NA,NA
"113","Minnesota Twins",".268",".319",".428",".747",".294","3.0%","16.0%","6.4%","16.6%","39.2%","32.7%","0.67","6.2","8.8%","37.3",2003,NA,NA
"114","Montreal Expos",".264",".327",".423",".750",".293","2.9%","16.7%","7.5%","18.4%","46.5%","25.8%","0.91","5.4","0.4%","40.8",2003,NA,NA
"115","New York Mets",".273",".345",".438",".783",".299","2.7%","14.6%","9.3%","17.5%","42.9%","28.9%","0.79","-4.0","-1.6%","-35.2",2003,NA,NA
"116","New York Yankees",".265",".314",".407",".721",".305","2.3%","18.0%","6.0%","18.3%","43.7%","28.2%","0.80","10.6","5.4%","66.0",2003,NA,NA
"117","Oakland Athletics",".246",".314",".376",".689",".277","2.3%","16.8%","8.2%","18.1%","47.3%","23.2%","0.94","14.4","14.3%","135.7",2003,NA,NA
"118","Philadelphia Phillies",".253",".327",".401",".727",".289","2.3%","17.1%","8.7%","19.6%","45.0%","23.5%","0.87","2.5","-1.7%","19.9",2003,NA,NA
"119","Pittsburgh Pirates",".272",".336",".431",".767",".297","2.8%","14.7%","8.0%","17.2%","45.9%","27.6%","0.90","-3.2","-0.3%","-47.8",2003,NA,NA
"120","San Diego Padres",".264",".341",".437",".778",".292","3.3%","17.3%","9.7%","18.4%","44.4%","26.8%","0.84","-13.6","-2.1%","-119.7",2003,NA,NA
"121","Seattle Mariners",".247",".311",".388",".699",".272","2.9%","16.6%","7.7%","18.5%","39.5%","30.9%","0.67","9.6","7.7%","125.3",2003,NA,NA
"122","San Francisco Giants",".250",".321",".386",".707",".282","2.2%","16.5%","9.0%","18.1%","43.9%","27.5%","0.83","13.4","7.3%","106.4",2003,NA,NA
"123","St. Louis Cardinals",".271",".336",".452",".787",".293","3.3%","15.2%","8.0%","19.8%","42.3%","27.9%","0.76","-4.8","-5.6%","-47.6",2003,NA,NA
"124","Tampa Bay Devil Rays",".264",".347",".440",".788",".280","3.1%","13.8%","10.1%","16.8%","40.8%","32.3%","0.71","-9.2","-2.2%","-95.2",2003,NA,NA
"125","Texas Rangers",".288",".360",".473",".833",".316","3.2%","15.7%","9.4%","20.4%","43.0%","27.8%","0.78","-8.0","-2.3%","-151.7",2003,NA,NA
"126","Toronto Blue Jays",".276",".337",".441",".778",".304","2.9%","15.7%","7.7%","18.8%","47.1%","25.3%","0.92","-3.5","-3.2%","-34.2",2003,NA,NA
"127","League Average",".264",".333",".422",".755",".294","2.8%","16.4%","8.5%","18.5%","43.9%","27.3%","0.82","","","",2003,NA,NA
"128","",".264",".333",".422",".755",".294","2.8%","16.4%","8.5%","18.5%","43.9%","27.3%","0.82","","","",2003,NA,NA
"129","Anaheim Angels",".263",".326",".415",".740",".302","2.7%","18.6%","8.0%","17.2%","41.3%","31.2%","0.73","8.8","11.7%","64.6",2004,NA,NA
"130","Arizona Diamondbacks",".266",".350",".439",".790",".302","3.1%","18.0%","10.4%","18.9%","45.0%","27.0%","0.86","-13.5","-2.2%","-138.8",2004,NA,NA
"131","Atlanta Braves",".265",".329",".400",".729",".299","2.5%","16.5%","8.4%","18.8%","45.8%","27.0%","0.89","9.1","6.5%","91.1",2004,NA,NA
"132","Baltimore Orioles",".264",".348",".404",".752",".300","2.5%","16.9%","10.6%","18.3%","44.9%","27.4%","0.84","1.1","-0.8%","-24.9",2004,NA,NA
"133","Boston Red Sox",".255",".318",".408",".727",".292","2.6%","18.2%","7.2%","16.7%","45.0%","28.8%","0.84","8.4","8.5%","64.9",2004,NA,NA
"134","Chicago Cubs",".247",".321",".395",".716",".295","2.7%","21.5%","8.7%","17.2%","44.3%","27.0%","0.85","9.2","11.6%","101.9",2004,NA,NA
"135","Chicago White Sox",".272",".338",".453",".791",".295","3.6%","16.4%","8.5%","19.0%","43.2%","27.4%","0.79","-4.0","-2.0%","-27.7",2004,NA,NA
"136","Cincinnati Reds",".280",".348",".481",".830",".301","3.7%","15.4%","8.9%","20.1%","41.6%","26.7%","0.75","-10.9","-6.7%","-167.8",2004,NA,NA
"137","Cleveland Indians",".271",".342",".445",".787",".304","3.1%","17.3%","9.0%","18.1%","43.7%","28.9%","0.80","-5.1","-4.0%","-65.3",2004,NA,NA
"138","Colorado Rockies",".290",".372",".471",".843",".316","3.0%","14.5%","10.7%","19.6%","44.0%","26.0%","0.83","-15.0","-3.7%","-134.4",2004,NA,NA
"139","Detroit Tigers",".275",".340",".441",".781",".302","3.0%","15.8%","8.4%","18.6%","45.3%","26.4%","0.86","-6.8","-1.5%","-64.0",2004,NA,NA
"140","Florida Marlins",".256",".324",".412",".735",".292","2.7%","18.3%","8.4%","18.1%","43.3%","27.3%","0.80","1.2","0.7%","31.4",2004,NA,NA
"141","Houston Astros",".258",".328",".417",".745",".305","2.8%","20.7%","8.5%","19.3%","43.6%","26.4%","0.81","6.2","7.8%","57.0",2004,NA,NA
"142","Kansas City Royals",".290",".352",".476",".828",".310","3.3%","14.0%","8.2%","19.7%","40.5%","29.5%","0.70","-12.6","-3.0%","-114.8",2004,NA,NA
"143","Los Angeles Dodgers",".254",".323",".408",".732",".284","2.9%","17.3%","8.5%","18.7%","40.7%","27.7%","0.73","7.2","7.8%","55.5",2004,NA,NA
"144","Milwaukee Brewers",".259",".320",".417",".737",".293","2.6%","17.7%","7.7%","19.9%","43.3%","26.1%","0.80","-0.3","2.4%","-7.6",2004,NA,NA
"145","Minnesota Twins",".267",".323",".406",".729",".305","2.7%","17.9%","6.9%","16.1%","44.3%","29.7%","0.83","14.1","10.9%","112.3",2004,NA,NA
"146","Montreal Expos",".266",".342",".431",".772",".294","3.0%","16.4%","9.2%","18.7%","44.5%","27.4%","0.84","0.1","0.5%","-1.0",2004,NA,NA
"147","New York Mets",".261",".335",".405",".740",".289","2.5%","15.4%","9.4%","16.9%","45.0%","27.7%","0.86","1.5","0.9%","18.1",2004,NA,NA
"148","New York Yankees",".271",".328",".432",".760",".302","2.9%","17.0%","7.1%","17.7%","42.7%","29.1%","0.77","6.6","4.1%","-9.4",2004,NA,NA
"149","Oakland Athletics",".262",".332",".409",".741",".293","2.6%","16.4%","8.6%","18.8%","46.2%","25.0%","0.89","9.4","4.9%","73.6",2004,NA,NA
"150","Philadelphia Phillies",".264",".330",".448",".778",".291","3.4%","17.0%","8.0%","19.1%","40.9%","27.9%","0.73","-0.1","-1.5%","0.8",2004,NA,NA
"151","Pittsburgh Pirates",".267",".342",".416",".758",".306","2.4%","17.4%","9.3%","18.4%","44.1%","27.4%","0.83","-1.5","-1.1%","-6.8",2004,NA,NA
"152","San Diego Padres",".263",".318",".431",".749",".295","3.0%","17.6%","6.9%","17.8%","42.4%","29.3%","0.77","1.7","0.3%","12.4",2004,NA,NA
"153","Seattle Mariners",".265",".338",".441",".779",".289","3.3%","16.2%","9.0%","18.8%","38.8%","31.0%","0.65","-2.6","-0.2%","-21.0",2004,NA,NA
"154","San Francisco Giants",".265",".332",".423",".755",".295","2.6%","16.1%","8.7%","18.8%","44.1%","26.8%","0.83","-2.3","-2.5%","-10.5",2004,NA,NA
"155","St. Louis Cardinals",".251",".313",".403",".715",".280","2.8%","17.1%","7.2%","18.9%","47.2%","24.8%","0.94","12.7","5.0%","93.0",2004,NA,NA
"156","Tampa Bay Devil Rays",".265",".342",".438",".780",".285","3.1%","14.7%","9.3%","19.0%","40.2%","30.3%","0.69","-4.1","-0.5%","-65.9",2004,NA,NA
"157","Texas Rangers",".274",".344",".432",".776",".301","2.9%","15.4%","8.6%","19.7%","43.8%","26.0%","0.81","5.1","4.0%","35.9",2004,NA,NA
"158","Toronto Blue Jays",".273",".348",".434",".782",".298","2.9%","15.2%","9.7%","17.9%","43.8%","28.1%","0.80","-2.0","-0.6%","-16.4",2004,NA,NA
"159","League Average",".266",".335",".428",".763",".297","2.9%","16.9%","8.6%","18.5%","43.4%","27.7%","0.80","","","",2004,NA,NA
"160","",".266",".335",".428",".763",".297","2.9%","16.9%","8.6%","18.5%","43.4%","27.7%","0.80","","","",2004,NA,NA
"161","Arizona Diamondbacks",".278",".345",".455",".799",".309","3.0%","16.2%","8.4%","19.5%","44.0%","26.7%","0.83","0.6","-4.0%","-110.0",2005,NA,NA
"162","Atlanta Braves",".268",".333",".406",".739",".298","2.3%","15.0%","8.4%","18.9%","45.4%","26.5%","0.88","1.8","4.5%","57.4",2005,NA,NA
"163","Baltimore Orioles",".263",".336",".416",".752",".294","2.9%","16.9%","9.3%","19.6%","44.6%","26.6%","0.83","-4.2","-1.7%","-53.8",2005,NA,NA
"164","Boston Red Sox",".276",".335",".441",".776",".305","2.6%","15.4%","7.1%","16.2%","43.2%","30.6%","0.78","-2.4","-0.3%","-39.2",2005,NA,NA
"165","Chicago Cubs",".250",".325",".407",".732",".290","3.0%","20.3%","9.3%","17.6%","45.3%","26.9%","0.88","1.8","-0.8%","30.2",2005,NA,NA
